==============================
      PARAGIN REPORT
==============================

STUDENT GRADES
---------------------------------------------
Student              Grade    Passed  
Student 0135         4.8      No      
Student 0136         2.9      No      
Student 0137         4.3      No      
Student 0138         4.1      No      
Student 0139         4.3      No      
Student 0140         4.6      No      
Student 0141         6.0      Yes     
Student 0142         3.6      No      
Student 0143         5.4      No      
Student 0144         2.0      No      
Student 0145         4.1      No      
Student 0146         3.3      No      
Student 0147         3.8      No      
Student 0148         5.0      No      
Student 0149         3.4      No      
Student 0150         4.1      No      
Student 0151         3.5      No      
Student 0152         3.9      No      
Student 0153         4.3      No      
Student 0154         3.9      No      
Student 0155         5.0      No      
Student 0156         4.3      No      
Student 0157         5.0      No      
Student 0158         2.0      No      
Student 0159         4.4      No      
Student 0160         4.6      No      
Student 0161         4.3      No      
Student 0162         3.6      No      
Student 0163         2.6      No      
Student 0164         4.4      No      
Student 0165         4.1      No      
Student 0166         3.7      No      
Student 0167         4.9      No      
Student 0168         4.0      No      
Student 0169         5.1      No      
Student 0170         5.1      No      
Student 0171         4.8      No      
Student 0172         5.4      No      
Student 0173         4.9      No      
Student 0174         3.8      No      
Student 0175         4.9      No      
Student 0176         4.9      No      
Student 0177         3.5      No      
Student 0178         3.5      No      
Student 0179         5.7      Yes     
Student 0180         3.6      No      
Student 0181         3.6      No      
Student 0182         3.3      No      
Student 0183         4.9      No      
Student 0184         3.5      No      
Student 0185         3.9      No      
Student 0186         5.5      Yes     
Student 0187         4.5      No      
Student 0188         2.2      No      
Student 0189         4.2      No      
Student 0190         5.0      No      
Student 0191         3.1      No      
Student 0192         4.7      No      
Student 0193         4.5      No      
Student 0194         5.1      No      
Student 0195         5.2      No      
Student 0196         4.4      No      
Student 0197         2.5      No      
Student 0198         5.3      No      
Student 0199         3.3      No      
Student 0200         4.8      No      
Student 0201         4.0      No      
Student 0202         3.4      No      
Student 0203         4.1      No      
Student 0204         4.2      No      
Student 0205         4.7      No      
Student 0206         3.4      No      
Student 0207         5.5      Yes     
Student 0208         2.1      No      
Student 0209         3.1      No      
Student 0210         4.0      No      
Student 0211         4.6      No      
Student 0212         4.4      No      
Student 0213         4.7      No      
Student 0214         4.5      No      
Student 0215         4.6      No      
Student 0216         4.5      No      
Student 0217         4.5      No      
Student 0218         3.4      No      
Student 0219         4.7      No      
Student 0220         4.0      No      
Student 0221         4.2      No      
Student 0222         5.4      No      
Student 0223         4.4      No      
Student 0224         4.9      No      
Student 0225         4.4      No      
Student 0226         4.8      No      
Student 0227         3.7      No      
Student 0228         6.8      Yes     
Student 0229         4.2      No      
Student 0230         4.7      No      
Student 0231         4.0      No      
Student 0232         4.1      No      
Student 0233         2.8      No      
Student 0234         3.7      No      
Student 0235         4.8      No      
Student 0236         5.3      No      
Student 0237         3.7      No      
Student 0238         4.2      No      
Student 0239         4.7      No      
Student 0240         4.9      No      
Student 0241         3.7      No      
Student 0242         4.9      No      
Student 0243         3.6      No      
Student 0244         5.5      Yes     
Student 0245         4.9      No      
Student 0246         5.5      Yes     
Student 0247         2.9      No      
Student 0248         2.7      No      
Student 0249         3.3      No      
Student 0250         5.8      Yes     
Student 0251         4.6      No      
Student 0252         5.8      Yes     
Student 0253         5.3      No      
Student 0254         4.4      No      
Student 0255         5.2      No      
Student 0256         6.5      Yes     
Student 0257         5.5      Yes     
Student 0258         4.7      No      
Student 0259         8.2      Yes     
Student 0260         7.2      Yes     
Student 0261         5.7      Yes     
Student 0262         4.8      No      
Student 0263         3.2      No      
Student 0264         4.3      No      
Student 0265         5.5      Yes     
Student 0266         4.7      No      
Student 0267         4.8      No      
Student 0268         5.2      No      
Student 0269         5.2      No      
Student 0270         4.2      No      
Student 0271         5.8      Yes     
Student 0272         4.7      No      
Student 0273         4.9      No      
Student 0274         4.3      No      
Student 0275         3.6      No      
Student 0276         4.0      No      
Student 0277         7.5      Yes     
Student 0278         4.0      No      
Student 0279         5.2      No      
Student 0280         5.2      No      
Student 0281         3.6      No      
Student 0282         4.9      No      
Student 0283         5.5      Yes     
Student 0284         6.2      Yes     
Student 0285         5.1      No      
Student 0286         2.3      No      
Student 0287         4.8      No      
Student 0288         5.3      No      
Student 0289         4.0      No      
Student 0290         4.0      No      
Student 0291         4.0      No      
Student 0292         4.4      No      
Student 0293         4.5      No      
Student 0294         3.6      No      
Student 0295         3.9      No      
Student 0296         3.8      No      
Student 0297         4.5      No      
Student 0298         5.0      No      
Student 0299         5.4      No      
Student 0300         5.1      No      
Student 0301         4.4      No      
Student 0302         3.2      No      
Student 0303         4.8      No      
Student 0304         4.9      No      
Student 0305         6.2      Yes     
Student 0306         3.8      No      
Student 0307         3.5      No      
Student 0308         3.9      No      
Student 0309         5.1      No      
Student 0310         5.2      No      
Student 0311         3.6      No      
Student 0312         3.8      No      
Student 0313         5.5      Yes     
Student 0314         3.5      No      
Student 0315         3.9      No      
Student 0316         5.3      No      
Student 0317         4.0      No      
Student 0318         2.0      No      
Student 0319         5.2      No      
Student 0320         4.4      No      
Student 0321         4.6      No      
Student 0322         4.2      No      
Student 0323         5.1      No      
Student 0324         6.5      Yes     
Student 0325         4.0      No      
Student 0326         4.9      No      
Student 0327         4.2      No      
Student 0328         4.7      No      
Student 0329         4.6      No      
Student 0330         3.7      No      
Student 0331         3.3      No      
Student 0332         4.6      No      
Student 0333         4.8      No      
Student 0334         6.0      Yes     
Student 0335         3.9      No      
Student 0336         5.2      No      
Student 0337         3.0      No      
Student 0338         5.4      No      
Student 0339         4.3      No      
Student 0340         5.4      No      
Student 0341         4.9      No      
Student 0342         3.9      No      
Student 0343         4.3      No      
Student 0344         2.8      No      
Student 0345         4.2      No      
Student 0346         5.3      No      
Student 0347         4.4      No      
Student 0348         4.9      No      
Student 0349         5.8      Yes     
Student 0350         4.0      No      
Student 0351         2.1      No      
Student 0352         5.4      No      
Student 0353         3.8      No      
Student 0354         5.0      No      
Student 0355         3.5      No      
Student 0356         4.8      No      
Student 0357         5.2      No      
Student 0358         4.3      No      
Student 0359         3.7      No      
Student 0360         4.7      No      
Student 0361         6.2      Yes     
Student 0362         5.5      Yes     
Student 0363         5.0      No      
Student 0364         3.8      No      
Student 0365         2.4      No      
Student 0366         4.2      No      
Student 0367         4.1      No      
Student 0368         4.8      No      
Student 0369         3.7      No      
Student 0370         4.9      No      
Student 0371         4.1      No      
Student 0372         4.3      No      
Student 0373         4.1      No      
Student 0374         5.2      No      
Student 0375         4.1      No      
Student 0376         4.8      No      
Student 0377         4.5      No      
Student 0378         5.8      Yes     
Student 0379         2.0      No      
Student 0380         2.8      No      
Student 0381         5.1      No      
Student 0382         6.8      Yes     
Student 0383         4.0      No      
Student 0384         3.5      No      
Student 0385         5.4      No      
Student 0386         4.0      No      
Student 0387         5.2      No      
Student 0388         3.7      No      
Student 0389         5.3      No      
Student 0390         3.9      No      
Student 0391         5.1      No      
Student 0392         4.5      No      
Student 0393         5.2      No      
Student 0394         3.2      No      
Student 0395         3.0      No      
Student 0396         4.2      No      
Student 0397         5.3      No      
Student 0398         5.7      Yes     
Student 0399         4.2      No      
Student 0400         7.2      Yes     
Student 0401         4.6      No      
Student 0402         5.5      Yes     
Student 0403         3.8      No      
Student 0404         4.1      No      
Student 0405         6.8      Yes     
Student 0406         2.0      No      
Student 0407         4.9      No      
Student 0408         5.8      Yes     
Student 0409         3.9      No      
Student 0410         3.5      No      
Student 0411         5.4      No      
Student 0412         4.0      No      
Student 0413         4.7      No      
Student 0414         5.2      No      
Student 0415         5.1      No      
Student 0416         3.8      No      
Student 0417         5.5      Yes     
Student 0418         2.9      No      
Student 0419         3.5      No      
Student 0420         4.1      No      
Student 0421         3.7      No      
Student 0422         5.7      Yes     
Student 0423         3.4      No      
Student 0424         3.5      No      
Student 0425         4.8      No      
Student 0426         4.7      No      
Student 0427         4.1      No      
Student 0428         3.2      No      
Student 0429         3.6      No      
Student 0430         4.1      No      
Student 0431         4.6      No      
Student 0432         5.1      No      
Student 0433         4.9      No      
Student 0434         4.4      No      
Student 0435         4.1      No      
Student 0436         3.5      No      
Student 0437         3.8      No      
Student 0438         3.6      No      
Student 0439         5.1      No      
Student 0440         4.6      No      
Student 0441         5.7      Yes     
Student 0442         4.1      No      
Student 0443         5.0      No      
Student 0444         4.8      No      
Student 0445         4.8      No      
Student 0446         3.8      No      
Student 0447         4.1      No      
Student 0448         4.5      No      
Student 0449         2.5      No      
Student 0450         6.2      Yes     
Student 0451         4.9      No      
Student 0452         6.5      Yes     

QUESTION STATISTICS
---------------------------------------------
Question   P'         r_it      
---------------------------------------------
1          0.63       0.33      
2          0.63       0.17      
3          0.80       0.19      
4          0.85       0.08      
5          0.80       0.24      
6          0.88       0.28      
7          0.88       0.17      
8          0.17       0.00      
9          0.17       0.03      
10         0.86       0.09      
11         0.71       0.20      
12         0.86       0.34      
13         0.74       0.25      
14         0.86       0.16      
15         0.82       0.16      
16         0.44       0.13      
17         0.59       0.15      
18         0.29       0.12      
19         0.34       0.00      
20         0.60       0.25      
21         0.87       0.11      
22         0.88       0.13      
23         0.95       0.27      
24         1.00       0.00      
25         0.34       0.20      
26         0.68       0.19      
27         0.23       0.12      
28         0.46       0.13      
29         0.74       0.13      
30         0.45       0.06      
31         0.63       0.45      
32         0.94       0.23      
33         0.50       0.35      
34         0.43       0.35      
35         0.89       0.42      
36         0.54       0.33      
37         0.63       0.30      
38         0.61       0.16      
39         0.31       0.33      
40         0.58       0.41      
41         0.35       0.52      
42         0.71       0.44      
43         0.50       0.46      
44         0.28       0.46      
45         0.71       0.40      
46         0.73       0.29      
47         0.71       0.36      
48         0.34       0.53      
49         0.14       0.30      
